SMILES,INCHI,INCHI_KEY,CID,VENDORS,Ambeed_link,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,"InChI=1S/C19H30O5/c1-2-3-4-5-6-7-8-9-10-11-12-24-19(23)15-13-16(20)18(22)17(21)14-15/h13-14,20-22H,2-12H2,1H3",RPWFJAMTCNSJKK-UHFFFAOYSA-N,14425.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)']",https://www.ambeed.com/products/1166-52-5.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QF-6627,https://www.sigmaaldrich.com/catalog/product/aldrich/48660?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/G0015/index.html,
OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O.[Cl-],"InChI=1S/C21H20O11.ClH/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8;/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26);1H/t16-,17-,18+,19-,21-;/m1./s1",YTMNONATNXDQJF-UBNZBFALSA-N,197081.0,['Ambeed'],https://www.ambeed.com/products/7084-24-4.html,,,,
COc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,"InChI=1S/C16H12O7/c1-22-16-11(20)6-13-14(15(16)21)10(19)5-12(23-13)7-2-3-8(17)9(18)4-7/h2-6,17-18,20-21H,1H3",FHHSEFRSDKWJKJ-UHFFFAOYSA-N,5317284.0,['Ambeed'],https://www.ambeed.com/products/520-11-6.html,,,,
CCOC(=O)C=Cc1ccc(O)c(O)c1,"InChI=1S/C11H12O4/c1-2-15-11(14)6-4-8-3-5-9(12)10(13)7-8/h3-7,12-13H,2H2,1H3",WDKYDMULARNCIS-UHFFFAOYSA-N,66883.0,['Thermo Fisher Scientific'],,,,,https://www.thermofisher.com/order/catalog/product/B24808.03
O=C(O)c1ccc(O)c(O)c1O,"InChI=1S/C7H6O5/c8-4-2-1-3(7(11)12)5(9)6(4)10/h1-2,8-10H,(H,11,12)",BRRSNXCXLSVPFC-UHFFFAOYSA-N,11874.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific']",https://www.ambeed.com/products/610-02-6.html,https://www.combi-blocks.com/cgi-bin/find.cgi?OR-0491,https://www.sigmaaldrich.com/catalog/product/aldrich/253847?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/P0571/index.html,https://www.thermofisher.com/order/catalog/product/442210050
C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,"InChI=1S/C18H24O3/c1-18-7-6-11-12(14(18)4-5-17(18)21)3-2-10-8-15(19)16(20)9-13(10)11/h8-9,11-12,14,17,19-21H,2-7H2,1H3/t11-,12+,14-,17-,18-/m0/s1",DILDHNKDVHLEQB-XSSYPUMDSA-N,247304.0,"['Combi-Blocks', 'Sigma-Aldrich']",,https://www.combi-blocks.com/cgi-bin/find.cgi?JQ-5301,https://www.sigmaaldrich.com/catalog/product/sial/19692?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
O=C(O)[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C21H18O13/c22-7-4-10(25)12-11(5-7)32-17(6-1-2-8(23)9(24)3-6)18(13(12)26)33-21-16(29)14(27)15(28)19(34-21)20(30)31/h1-5,14-16,19,21-25,27-29H,(H,30,31)/t14-,15-,16+,19-,21+/m0/s1",DUBCCGAQYVUYEU-ZUGPOPFOSA-N,5274585.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich']",https://www.ambeed.com/products/22688-79-5.html,https://www.combi-blocks.com/cgi-bin/find.cgi?JQ-6333,https://www.sigmaaldrich.com/catalog/product/sial/00310590?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12,"InChI=1S/C15H10O8/c16-6-2-1-5(3-7(6)17)14-13(22)12(21)10-8(18)4-9(19)11(20)15(10)23-14/h1-4,16-20,22H",YRRAGUMVDQQZIY-UHFFFAOYSA-N,5280647.0,['Combi-Blocks'],,https://www.combi-blocks.com/cgi-bin/find.cgi?HA-0790,,,
Cc1c(O)ccc(O)c1C,"InChI=1S/C8H10O2/c1-5-6(2)8(10)4-3-7(5)9/h3-4,9-10H,1-2H3",BXJGUBZTZWCMEX-UHFFFAOYSA-N,69100.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific']",https://www.ambeed.com/products/608-43-5.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QA-1550,https://www.sigmaaldrich.com/catalog/product/aldrich/300756?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/D3877/index.html,https://www.thermofisher.com/order/catalog/product/305110250
O=Cc1cc(O)c(O)c(O)c1,"InChI=1S/C7H6O4/c8-3-4-1-5(9)7(11)6(10)2-4/h1-3,9-11H",RGZHEOWNTDJLAQ-UHFFFAOYSA-N,83651.0,"['Ambeed', 'Combi-Blocks', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific']",https://www.ambeed.com/products/13677-79-7.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QC-3535,,http://www.tcichemicals.com/eshop/en/us/commodity/T2650/index.html,https://www.thermofisher.com/order/catalog/product/A19270.06
C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O,"InChI=1S/C18H24O3/c1-18-9-8-11-10-4-6-15(19)17(21)13(10)3-2-12(11)14(18)5-7-16(18)20/h4,6,11-12,14,16,19-21H,2-3,5,7-9H2,1H3/t11-,12-,14+,16+,18+/m1/s1",QOZFCKXEVSGWGS-ZHIYBZGJSA-N,5282360.0,['Sigma-Aldrich'],,,https://www.sigmaaldrich.com/catalog/product/sial/41171?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1",PFTAWBLQPZVEMU-HIFRSBDPSA-N,73160.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich']",https://www.ambeed.com/products/7295-85-4.html,https://www.combi-blocks.com/cgi-bin/find.cgi?JP-9163,https://www.sigmaaldrich.com/catalog/product/sigma/c0567?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
O=C(O)C(O)Cc1ccc(O)c(O)c1,"InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)",PAFLSMZLRSPALU-UHFFFAOYSA-N,439435.0,['Ambeed'],https://www.ambeed.com/products/23028-17-3.html,,,,
Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)C2,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15+/m0/s1",XMOCLSLCDHWDHP-SWLSCSKDSA-N,65084.0,['Ambeed'],https://www.ambeed.com/products/970-73-0.html,,,,
COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1OC,"InChI=1S/C17H14O7/c1-22-14-7-13-15(16(21)17(14)23-2)11(20)6-12(24-13)8-3-4-9(18)10(19)5-8/h3-7,18-19,21H,1-2H3",IMEYGBIXGJLUIS-UHFFFAOYSA-N,160237.0,['Combi-Blocks'],,https://www.combi-blocks.com/cgi-bin/find.cgi?JQ-7951,,,
OCC(O)c1ccc(O)c(O)c1,"InChI=1S/C8H10O4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8-12H,4H2",MTVWFVDWRVYDOR-UHFFFAOYSA-N,91528.0,['Sigma-Aldrich'],,,https://www.sigmaaldrich.com/catalog/product/sigma/d9753?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
CC(C)(C)CC(C)(C)c1cc(O)c(C(C)(C)CC(C)(C)C)cc1O,"InChI=1S/C22H38O2/c1-19(2,3)13-21(7,8)15-11-18(24)16(12-17(15)23)22(9,10)14-20(4,5)6/h11-12,23-24H,13-14H2,1-10H3",CLDZVCMRASJQFO-UHFFFAOYSA-N,70180.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)']",https://www.ambeed.com/products/903-19-5.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QN-2330,https://www.sigmaaldrich.com/catalog/product/aldrich/r164666,http://www.tcichemicals.com/eshop/en/us/commodity/B1839/index.html,
O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O,"InChI=1S/C15H12O5/c16-10-3-4-11(14(19)8-10)12(17)5-1-9-2-6-13(18)15(20)7-9/h1-8,16,18-20H/b5-1+",AYMYWHCQALZEGT-ORCRQEGFSA-N,5281222.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)']",https://www.ambeed.com/products/487-52-5.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QH-2626,https://www.sigmaaldrich.com/catalog/product/sial/72795?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/B3803/index.html,
CC(=O)c1cc(O)c(O)c(O)c1,"InChI=1S/C8H8O4/c1-4(9)5-2-6(10)8(12)7(11)3-5/h2-3,10-12H,1H3",IBKQQKPQRYUGBJ-UHFFFAOYSA-N,36586.0,['Combi-Blocks'],,https://www.combi-blocks.com/cgi-bin/find.cgi?HA-4083,,,
