SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY
Cc1cc(O)c2ccc(Cl)cc2n1,2.9022200000000007,1,2,2,33.120000000000005,21,53.154800000000016,True,False,False,False,193.63300000000004,False,False,False,"InChI=1S/C10H8ClNO/c1-6-4-10(13)8-3-2-7(11)5-9(8)12-6/h2-5H,1H3,(H,12,13)",TWYVITBRDNFBNT-UHFFFAOYSA-N
CCOC(=O)c1cnc2c(Cl)c(Cl)ccc2c1O,3.423900000000002,1,4,4,59.42,27,69.38430000000001,True,False,False,False,286.11399999999986,False,False,False,"InChI=1S/C12H9Cl2NO3/c1-2-18-12(17)7-5-15-10-6(11(7)16)3-4-8(13)9(10)14/h3-5H,2H2,1H3,(H,15,16)",FAEKTUDLKDVPSY-UHFFFAOYSA-N
O=C(O)c1cc(O)c2cc(Cl)ccc2n1,2.292,2,4,2,70.42,21,55.37710000000001,True,False,False,False,223.61500000000004,False,False,False,"InChI=1S/C10H6ClNO3/c11-5-1-2-7-6(3-5)9(13)4-8(12-7)10(14)15/h1-4H,(H,12,13)(H,14,15)",FBHYBXRWVNVMRY-UHFFFAOYSA-N
Cc1cc(CN)cnc1S,1.13742,2,3,4,38.91,20,44.11740000000002,True,False,False,False,154.23800000000008,False,False,False,"InChI=1S/C7H10N2S/c1-5-2-6(3-8)4-9-7(5)10/h2,4H,3,8H2,1H3,(H,9,10)",LBEDBPALTHIYCO-UHFFFAOYSA-N
COC(=O)c1ccc(=S)[nH]c1C,1.83921,1,3,3,42.09,21,47.70320000000002,True,False,False,False,183.23200000000008,False,False,False,"InChI=1S/C8H9NO2S/c1-5-6(8(10)11-2)3-4-7(12)9-5/h3-4H,1-2H3,(H,9,12)",UKRQXBQQIDABPF-UHFFFAOYSA-N
Cc1nc(C(F)(F)F)ccc1-c1cc[nH]n1,2.7989200000000007,1,2,2,41.57,24,51.55770000000002,True,False,False,False,227.18900000000008,False,False,False,"InChI=1S/C10H8F3N3/c1-6-7(8-4-5-14-16-8)2-3-9(15-6)10(11,12)13/h2-5H,1H3,(H,14,16)",RCKYMLNMOJRDGD-UHFFFAOYSA-N
COc1cnc(CN2CCCC2)cc1O,1.3915999999999995,1,4,5,45.59,31,56.96480000000003,True,False,False,False,208.26100000000017,False,False,False,"InChI=1S/C11H16N2O2/c1-15-11-7-12-9(6-10(11)14)8-13-4-2-3-5-13/h6-7H,2-5,8H2,1H3,(H,12,14)",VFPUGYFCYMDMCS-UHFFFAOYSA-N
COc1cc(OC)c2c(=O)c(C#N)c[nH]c2c1,1.41698,1,4,4,75.11,27,62.38770000000002,True,False,False,False,230.22300000000007,False,False,False,"InChI=1S/C12H10N2O3/c1-16-8-3-9-11(10(4-8)17-2)12(15)7(5-13)6-14-9/h3-4,6H,1-2H3,(H,14,15)",VULJFGGTQMATOG-UHFFFAOYSA-N
Sc1nnc(-c2ccncc2)n1Cc1ccccc1,2.6771000000000003,1,5,4,43.6,31,76.04900000000004,True,False,False,False,268.34499999999974,False,False,False,"InChI=1S/C14H12N4S/c19-14-17-16-13(12-6-8-15-9-7-12)18(14)10-11-4-2-1-3-5-11/h1-9H,10H2,(H,17,19)",CPPAKJNMGGTEHY-UHFFFAOYSA-N
COC(=O)c1cc(O)c2cccc(C)c2n1,2.03542,1,4,4,59.42,27,59.484300000000026,True,False,False,False,217.22400000000007,False,False,False,"InChI=1S/C12H11NO3/c1-7-4-3-5-8-10(14)6-9(12(15)16-2)13-11(7)8/h3-6H,1-2H3,(H,13,14)",LXGWTGWGUFVSGH-UHFFFAOYSA-N
NC(c1ccccc1)c1ccc(=S)[nH]c1,2.7922900000000004,2,2,3,41.81,27,64.09910000000002,True,False,False,False,216.30900000000008,False,False,False,"InChI=1S/C12H12N2S/c13-12(9-4-2-1-3-5-9)10-6-7-11(15)14-8-10/h1-8,12H,13H2,(H,14,15)",RCTDFGJXQOWFDH-UHFFFAOYSA-N
N/C(COc1ccc(F)cc1)=N\NC(=O)c1ccncc1,1.3017000000000003,2,4,5,89.60000000000001,34,75.22060000000002,True,False,False,False,288.2819999999997,False,False,False,"InChI=1S/C14H13FN4O2/c15-11-1-3-12(4-2-11)21-9-13(16)18-19-14(20)10-5-7-17-8-6-10/h1-8H,9H2,(H2,16,18)(H,19,20)",YUKGCBWCTBIAOC-UHFFFAOYSA-N
CCCCN1CCCCC1c1ccc(S)nc1,3.697400000000002,1,3,6,16.130000000000003,39,74.56200000000004,True,False,False,False,250.4110000000002,False,False,False,"InChI=1S/C14H22N2S/c1-2-3-9-16-10-5-4-6-13(16)12-7-8-14(17)15-11-12/h7-8,11,13H,2-6,9-10H2,1H3,(H,15,17)",QRHUSMKDWZNPFM-UHFFFAOYSA-N
COc1cc(OC)c2[nH]cc(C(=O)O)c(=O)c2c1,1.2434999999999998,2,5,5,88.62,29,64.632,True,False,False,False,249.2220000000001,False,False,False,"InChI=1S/C12H11NO5/c1-17-6-3-7-10(9(4-6)18-2)13-5-8(11(7)14)12(15)16/h3-5H,1-2H3,(H,13,14)(H,15,16)",UAUGYIAYNNSEBS-UHFFFAOYSA-N
Cc1cc(S)nc2c(C)cccc12,3.140340000000001,1,2,3,12.89,24,58.46900000000003,True,False,False,False,189.28300000000007,False,False,False,"InChI=1S/C11H11NS/c1-7-4-3-5-9-8(2)6-10(13)12-11(7)9/h3-6H,1-2H3,(H,12,13)",IDKGGDCCFSDICC-UHFFFAOYSA-N
N/N=c1\ccc2ccccc2[nH]1,0.9423,2,2,1,54.17,21,48.04910000000001,True,False,False,False,159.19200000000006,False,False,False,"InChI=1S/C9H9N3/c10-12-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,10H2,(H,11,12)",QMVCLSHKMIGEFN-UHFFFAOYSA-N
CC(C)N1CCCC1c1ccc[nH]c1=S,3.2894900000000016,1,2,4,19.03,33,65.44370000000004,True,False,False,False,222.35700000000017,False,False,False,"InChI=1S/C12H18N2S/c1-9(2)14-8-4-6-11(14)10-5-3-7-13-12(10)15/h3,5,7,9,11H,4,6,8H2,1-2H3,(H,13,15)",PISWEHSIECXZPC-UHFFFAOYSA-N
CC(C)c1cccc2c(=O)cc[nH]c12,2.6515000000000004,1,1,3,32.86,27,58.65770000000002,True,False,False,False,187.2420000000001,False,False,False,"InChI=1S/C12H13NO/c1-8(2)9-4-3-5-10-11(14)6-7-13-12(9)10/h3-8H,1-2H3,(H,13,14)",FLZSXKHDQLRZMM-UHFFFAOYSA-N
CCOC(=O)c1cc(-c2cccnc2)[nH]n1,1.6484,1,4,4,67.87,27,57.77520000000002,True,False,False,False,217.2280000000001,False,False,False,"InChI=1S/C11H11N3O2/c1-2-16-11(15)10-6-9(13-14-10)8-4-3-5-12-7-8/h3-7H,2H2,1H3,(H,13,14)",PHRDPBKZRMDSTI-UHFFFAOYSA-N
CCC(=O)c1cnc(S)c(C)c1,2.27142,1,3,5,29.96,23,50.84750000000003,True,False,False,False,181.2600000000001,False,False,False,"InChI=1S/C9H11NOS/c1-3-8(11)7-4-6(2)9(12)10-5-7/h4-5H,3H2,1-2H3,(H,10,12)",ICUKVUXRHUSGRN-UHFFFAOYSA-N
Cc1cc(C2CCCCN2CC(C)C)cnc1S,3.861720000000003,1,3,7,16.130000000000003,42,79.22900000000004,True,False,False,False,264.438,False,False,False,"InChI=1S/C15H24N2S/c1-11(2)10-17-7-5-4-6-14(17)13-8-12(3)15(18)16-9-13/h8-9,11,14H,4-7,10H2,1-3H3,(H,16,18)",CMWQRSIEFRGMAU-UHFFFAOYSA-N
O=C(O)c1cc(=O)c2cccc(Cl)c2[nH]1,1.8797,2,3,1,70.16,21,56.538,True,False,False,False,223.61500000000004,False,False,False,"InChI=1S/C10H6ClNO3/c11-6-3-1-2-5-8(13)4-7(10(14)15)12-9(5)6/h1-4H,(H,12,13)(H,14,15)",HLBJQGJKDNDEPD-UHFFFAOYSA-N
