,SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS
3634,O=c1[nH]c(C2CCCC2)nc2cnccc12,1.9757,1,3,1,58.64,29,61.3677,True,False,False,False,215.256,False,False,False,"InChI=1S/C12H13N3O/c16-12-9-5-6-13-7-10(9)14-11(15-12)8-3-1-2-4-8/h5-8H,1-4H2,(H,14,15,16)",BSVNUVBLMSKJGV-UHFFFAOYSA-N,97179757,nan
3662,CCc1cc(=O)[nH]c(-c2cccnc2)n1,1.3943,1,3,3,58.64,26,57.4667,True,False,False,False,201.229,False,False,False,"InChI=1S/C11H11N3O/c1-2-9-6-10(15)14-11(13-9)8-4-3-5-12-7-8/h3-7H,2H2,1H3,(H,13,14,15)",XDSQYRYUTKSFFP-UHFFFAOYSA-N,28819648,nan
3700,Cc1ccc(-c2c(O)cc(O)nc2Cl)cc1,3.12162,2,3,4,53.35,26,62.7496,True,False,False,False,235.67,False,False,False,"InChI=1S/C12H10ClNO2/c1-7-2-4-8(5-3-7)11-9(15)6-10(16)14-12(11)13/h2-6H,1H3,(H2,14,15,16)",FLKFEPYLFAREQD-UHFFFAOYSA-N,2768967,nan
4135,CCCCc1c(O)ncnc1/C=C/c1cccnc1,3.0902,1,4,7,58.9,36,75.4738,True,False,False,False,255.321,False,False,False,"InChI=1S/C15H17N3O/c1-2-3-6-13-14(17-11-18-15(13)19)8-7-12-5-4-9-16-10-12/h4-5,7-11H,2-3,6H2,1H3,(H,17,18,19)/b8-7+",LAMUVQGLTGBEOC-BQYQJAHWSA-N,45063845,nan
4195,Cc1nc(O)c(C(C)C(=O)O)c(/C=C/c2ccncc2)n1,2.24412,2,6,7,96.2,36,77.6496,True,False,False,False,285.303,False,False,False,"InChI=1S/C15H15N3O3/c1-9(15(20)21)13-12(17-10(2)18-14(13)19)4-3-11-5-7-16-8-6-11/h3-9H,1-2H3,(H,20,21)(H,17,18,19)/b4-3+",YVZSYQNNVYAEOI-ONEGZZNKSA-N,45060729,nan
4253,CC(C)c1nc2nc(N)c(C(N)=O)cc2c(=O)[nH]1,0.1226,3,5,5,127.75,31,67.178,True,False,False,False,247.258,False,False,False,"InChI=1S/C11H13N5O2/c1-4(2)9-15-10-6(11(18)16-9)3-5(8(13)17)7(12)14-10/h3-4H,1-2H3,(H2,13,17)(H3,12,14,15,16,18)",ANOTVHCLTFISJA-UHFFFAOYSA-N,66489718,nan
4254,O=C1NC2=C(CCC2)C(c2ccncc2)N1,1.8735,2,2,1,54.02,29,59.5224,True,False,False,False,215.256,False,False,False,"InChI=1S/C12H13N3O/c16-12-14-10-3-1-2-9(10)11(15-12)8-4-6-13-7-5-8/h4-7,11H,1-3H2,(H2,14,15,16)",HRMXMWRLTIXXHH-UHFFFAOYSA-N,44717952,nan
4294,Oc1ncnc(/C=C/c2cccnc2)c1Cc1ccccc1,3.3384,1,4,5,58.9,37,86.1098,True,False,False,False,289.338,False,False,False,"InChI=1S/C18H15N3O/c22-18-16(11-14-5-2-1-3-6-14)17(20-13-21-18)9-8-15-7-4-10-19-12-15/h1-10,12-13H,11H2,(H,20,21,22)/b9-8+",PCPVVLILBGNUJL-CMDGGOBGSA-N,45063915,nan
4310,CC1(C)CC(=O)C(=CNNC(=O)c2cccnc2)C(=O)C1,1.1581,2,5,5,88.16,38,75.9509,True,False,False,False,287.319,False,False,False,"InChI=1S/C15H17N3O3/c1-15(2)6-12(19)11(13(20)7-15)9-17-18-14(21)10-4-3-5-16-8-10/h3-5,8-9,17H,6-7H2,1-2H3,(H,18,21)",TZIIQITYHPKPII-UHFFFAOYSA-N,3389079,nan
4363,CCc1c(O)nc(C)nc1/C=C/c1cccnc1,2.61842,1,4,6,58.9,33,70.9768,True,False,False,False,241.294,False,False,False,"InChI=1S/C14H15N3O/c1-3-12-13(16-10(2)17-14(12)18)7-6-11-5-4-8-15-9-11/h4-9H,3H2,1-2H3,(H,16,17,18)/b7-6+",DLPSPMFVKAKFLS-VOTSOKGWSA-N,45061172,nan
