SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID
O=S1(=O)CCC(NCC/N=C\c2ccncc2)C1,0.2771999999999996,1,5,5,71.42,35,71.75950000000003,True,False,False,False,267.3539999999998,False,False,False,"InChI=1S/C12H17N3O2S/c16-18(17)8-3-12(10-18)15-7-6-14-9-11-1-4-13-5-2-11/h1-2,4-5,9,12,15H,3,6-8,10H2/b14-9-",MQVUIRVPWWTULX-ZROIWOOFSA-N,nan
Cn1nc(-c2ccncc2)cc1O,1.1876999999999998,1,4,3,50.94,22,48.10380000000003,True,False,False,False,175.19100000000006,False,False,False,"InChI=1S/C9H9N3O/c1-12-9(13)6-8(11-12)7-2-4-10-5-3-7/h2-6,13H,1H3",ADHRPFTVRURUGL-UHFFFAOYSA-N,nan
CCOC(=O)Cc1ccc(OC(F)F)c(Cl)n1,2.442000000000001,0,4,6,48.42,27,56.216000000000015,True,False,False,False,265.6429999999998,False,False,False,"InChI=1S/C10H10ClF2NO3/c1-2-16-8(15)5-6-3-4-7(9(11)14-6)17-10(12)13/h3-4,10H,2,5H2,1H3",HDCAXTOPOZXYNU-UHFFFAOYSA-N,nan
N#Cc1ccc(O[C@H]2CC[C@H](N)CC2)nc1,1.6019800000000002,1,4,3,71.92999999999999,31,59.81140000000003,True,False,False,False,217.2720000000001,False,False,False,"InChI=1S/C12H15N3O/c13-7-9-1-6-12(15-8-9)16-11-4-2-10(14)3-5-11/h1,6,8,10-11H,2-5,14H2/t10-,11-",YPULTNFCCDTPKQ-XYPYZODXSA-N,nan
N[C@H]1CC[C@H](Oc2ccc(Br)cn2)CC1,2.492800000000001,1,3,3,48.14,30,62.79640000000003,True,False,False,False,271.1579999999997,False,False,False,"InChI=1S/C11H15BrN2O/c12-8-1-6-11(14-7-8)15-10-4-2-9(13)3-5-10/h1,6-7,9-10H,2-5,13H2/t9-,10-",PNSRTVQVIJKVEL-MGCOHNPYSA-N,nan
CCOC(=O)Cc1ccc(Br)nc1N,1.5319,1,4,5,65.21,25,56.68640000000001,True,False,False,False,259.103,False,False,False,"InChI=1S/C9H11BrN2O2/c1-2-14-8(13)5-6-3-4-7(10)12-9(6)11/h3-4H,2,5H2,1H3,(H2,11,12)",QWDKPLLIRKSMJQ-UHFFFAOYSA-N,nan
CCOC(=O)c1cc(C(C)=O)c(O)n(C)c1=N,0.5894699999999999,2,6,7,92.38,31,58.89350000000002,True,False,False,False,238.2430000000001,False,False,False,"InChI=1S/C11H14N2O4/c1-4-17-11(16)8-5-7(6(2)14)10(15)13(3)9(8)12/h5,12,15H,4H2,1-3H3",RNOMTUDGOYEEJY-UHFFFAOYSA-N,nan
N=c1c2ccccc2[nH]c(=O)n1Cc1cccnc1,1.25237,2,4,2,74.53,31,71.75240000000001,True,False,False,False,252.27700000000007,False,False,False,"InChI=1S/C14H12N4O/c15-13-11-5-1-2-6-12(11)17-14(19)18(13)9-10-4-3-7-16-8-10/h1-8,15H,9H2,(H,17,19)",NMTLRULOPSOOOK-UHFFFAOYSA-N,nan
CCOC(=O)Cc1nccc(C)c1N,1.07782,1,4,6,65.21,28,53.72340000000002,True,False,False,False,194.2340000000001,False,False,False,"InChI=1S/C10H14N2O2/c1-3-14-9(13)6-8-10(11)7(2)4-5-12-8/h4-5H,3,6,11H2,1-2H3",ZAHXFMMGTVRJPF-UHFFFAOYSA-N,nan
CCOC(=O)c1cc(F)c(C(F)(F)F)cn1,2.416200000000001,0,3,3,39.19,23,45.153500000000015,True,False,False,False,237.152,False,False,False,"InChI=1S/C9H7F4NO2/c1-2-16-8(15)7-3-6(10)5(4-14-7)9(11,12)13/h3-4H,2H2,1H3",GUGBKVHGGZWNJI-UHFFFAOYSA-N,nan
CC(C)(C)[SiH2]c1cccnc1NC(=O)C(C)(C)C,2.0786999999999995,1,2,2,41.99,42,80.21470000000004,True,False,False,False,264.44499999999994,False,False,False,"InChI=1S/C14H24N2OSi/c1-13(2,3)12(17)16-11-10(8-7-9-15-11)18-14(4,5)6/h7-9H,18H2,1-6H3,(H,15,16,17)",KZUHCGAAGHIEFO-UHFFFAOYSA-N,nan
CC(=O)Nc1cc(C)cc[n+]1[O-],0.5868199999999999,1,2,3,56.040000000000006,22,44.442700000000016,True,False,False,False,166.18000000000006,False,False,False,"InChI=1S/C8H10N2O2/c1-6-3-4-10(12)8(5-6)9-7(2)11/h3-5H,1-2H3,(H,9,11)",MARKNUHRGHKVDX-UHFFFAOYSA-N,nan
O=C(O)Cc1cc(C(F)(F)F)c([N+](=O)[O-])cn1,1.6357,1,5,3,93.33,22,47.2332,True,False,False,False,250.132,False,False,False,"InChI=1S/C8H5F3N2O4/c9-8(10,11)5-1-4(2-7(14)15)12-3-6(5)13(16)17/h1,3H,2H2,(H,14,15)",CYBYOEUIZIRDFM-UHFFFAOYSA-N,nan
CCOC(=O)Cc1cnc(Cl)c(OC(F)F)c1,2.442,0,4,6,48.42,27,56.21600000000002,True,False,False,False,265.6429999999998,False,False,False,"InChI=1S/C10H10ClF2NO3/c1-2-16-8(15)4-6-3-7(17-10(12)13)9(11)14-5-6/h3,5,10H,2,4H2,1H3",IKDCZOWBEUXGJG-UHFFFAOYSA-N,nan
O=C(O)c1cnn2c(O)cc(-c3ccncc3)nc12,1.1950999999999998,2,7,3,100.61,27,64.84210000000002,True,False,False,False,256.22100000000006,False,False,False,"InChI=1S/C12H8N4O3/c17-10-5-9(7-1-3-13-4-2-7)15-11-8(12(18)19)6-14-16(10)11/h1-6,17H,(H,18,19)",KIPMEWZJCDYBST-UHFFFAOYSA-N,nan
Cc1ccc2cc(/N=C/c3ccc(O)cc3)ccc2n1,3.9994200000000015,1,3,4,45.48,34,81.84080000000003,True,False,False,False,262.3119999999999,False,False,False,"InChI=1S/C17H14N2O/c1-12-2-5-14-10-15(6-9-17(14)19-12)18-11-13-3-7-16(20)8-4-13/h2-11,20H,1H3/b18-11+",XSVXKLHDYPMDEX-WOJGMQOQSA-N,nan
Cc1cc(Br)cnc1/N=C/N(C)C,2.37392,0,2,4,28.49,25,58.51300000000002,True,False,False,False,242.1200000000001,False,False,False,"InChI=1S/C9H12BrN3/c1-7-4-8(10)5-11-9(7)12-6-13(2)3/h4-6H,1-3H3/b12-6+",HSXOSVRUJIQAHE-WUXMJOGZSA-N,nan
CCOC(=O)Cc1cnccc1OC(F)(F)F,2.0858,0,4,5,48.42,27,51.25700000000002,True,False,False,False,249.18800000000005,False,False,False,"InChI=1S/C10H10F3NO3/c1-2-16-9(15)5-7-6-14-4-3-8(7)17-10(11,12)13/h3-4,6H,2,5H2,1H3",BVJNKOQBTJLQBQ-UHFFFAOYSA-N,nan
CCOC(=O)c1ncc(Cl)cc1OC(F)F,2.513100000000001,0,4,5,48.42,24,51.83550000000002,True,False,False,False,251.61600000000004,False,False,False,"InChI=1S/C9H8ClF2NO3/c1-2-15-8(14)7-6(16-9(11)12)3-5(10)4-13-7/h3-4,9H,2H2,1H3",MBEUWUFOPPGNPA-UHFFFAOYSA-N,nan
COC(=O)c1c(OC(F)F)ccnc1Cl,2.123,0,4,4,48.42,21,47.21850000000001,True,False,False,False,237.58900000000008,False,False,False,"InChI=1S/C8H6ClF2NO3/c1-14-7(13)5-4(15-8(10)11)2-3-12-6(5)9/h2-3,8H,1H3",VBKGKTNYJJWZDI-UHFFFAOYSA-N,nan
COC(=O)Cc1ccnc(OC(F)F)c1Cl,2.0519,0,4,5,48.42,24,51.59900000000001,True,False,False,False,251.61600000000004,False,False,False,"InChI=1S/C9H8ClF2NO3/c1-15-6(14)4-5-2-3-13-8(7(5)10)16-9(11)12/h2-3,9H,4H2,1H3",IUHNPWUCWBAAAI-UHFFFAOYSA-N,nan
O=C(O)Cc1cncc(Cl)c1OC(F)F,1.9635,1,4,4,59.42,21,47.21880000000001,True,False,False,False,237.58900000000003,False,False,False,"InChI=1S/C8H6ClF2NO3/c9-5-3-12-2-4(1-6(13)14)7(5)15-8(10)11/h2-3,8H,1H2,(H,13,14)",FHNIPUNRFQWZAV-UHFFFAOYSA-N,nan
O=C(O)Cc1ccc(Cl)nc1OC(F)F,1.9635,1,4,4,59.42,21,47.21880000000001,True,False,False,False,237.58900000000003,False,False,False,"InChI=1S/C8H6ClF2NO3/c9-5-2-1-4(3-6(13)14)7(12-5)15-8(10)11/h1-2,8H,3H2,(H,13,14)",VZQHGZNOMBQQEH-UHFFFAOYSA-N,nan
N#CCc1ccc(C(F)(F)F)c([N+](=O)[O-])n1,2.0746800000000003,0,4,2,79.82,20,45.2104,True,False,False,False,231.133,False,False,False,"InChI=1S/C8H4F3N3O2/c9-8(10,11)6-2-1-5(3-4-12)13-7(6)14(15)16/h1-2H,3H2",ZZPJDGXXSIDWSK-UHFFFAOYSA-N,nan
COC(=O)Cc1cnc(Cl)cc1OC(F)F,2.0519,0,4,5,48.42,24,51.59900000000002,True,False,False,False,251.61600000000004,False,False,False,"InChI=1S/C9H8ClF2NO3/c1-15-8(14)2-5-4-13-7(10)3-6(5)16-9(11)12/h3-4,9H,2H2,1H3",IDLDTCGQEBHODQ-UHFFFAOYSA-N,nan
COc1ccc2c(n1)=C(O)CC(=O)N=2,-0.6937000000000002,1,4,3,71.78,22,47.2308,True,False,False,False,192.1740000000001,False,False,False,"InChI=1S/C9H8N2O3/c1-14-8-3-2-5-9(11-8)6(12)4-7(13)10-5/h2-3,12H,4H2,1H3",UUWZYYPRRZJRIQ-UHFFFAOYSA-N,nan
O=c1[nH]c(/C=C/c2ccncc2)c([N+](=O)[O-])c(=O)[nH]1,0.5367999999999998,2,5,3,121.75,27,67.5028,True,False,False,False,260.2089999999999,False,False,False,"InChI=1S/C11H8N4O4/c16-10-9(15(18)19)8(13-11(17)14-10)2-1-7-3-5-12-6-4-7/h1-6H,(H2,13,14,16,17)/b2-1+",NXEGYIKSYRJBRH-OWOJBTEDSA-N,nan
CCOC(=O)Cc1c(Cl)cncc1OC(F)F,2.442000000000001,0,4,6,48.42,27,56.21600000000002,True,False,False,False,265.6429999999998,False,False,False,"InChI=1S/C10H10ClF2NO3/c1-2-16-9(15)3-6-7(11)4-14-5-8(6)17-10(12)13/h4-5,10H,2-3H2,1H3",UXCKZNKGTPPKDW-UHFFFAOYSA-N,nan
CCOC(=O)c1cc(OC(F)F)cnc1Cl,2.513100000000001,0,4,5,48.42,24,51.83550000000002,True,False,False,False,251.61600000000004,False,False,False,"InChI=1S/C9H8ClF2NO3/c1-2-15-8(14)6-3-5(16-9(11)12)4-13-7(6)10/h3-4,9H,2H2,1H3",YJPDZEJMHRONSR-UHFFFAOYSA-N,nan
CCOC(=O)c1c(OC(F)F)ccnc1Cl,2.513100000000001,0,4,5,48.42,24,51.83550000000002,True,False,False,False,251.61600000000004,False,False,False,"InChI=1S/C9H8ClF2NO3/c1-2-15-8(14)6-5(16-9(11)12)3-4-13-7(6)10/h3-4,9H,2H2,1H3",GRDFDGWKHHEZDJ-UHFFFAOYSA-N,nan
